1653187,"Asesino, asesino",1999
1653576,Asia: Terra isolita,1977
1653812,Asignatura aprobada,1987
1653813,Asignatura pendiente,1977
1655292,"Asturias, sus gentes, sus cosas",1975
1655293,"Asturias, sus gentes, sus cosas: La mar",1975
1655349,Asunto interno,1996
1655443,Así como habían sido,1987
1655450,Así en el cielo como en la tierra,1995
1655477,Así es la vida,1976
1656033,Atacadas,1995
1656064,Atapuerca: El misterio de la evolución humana,1997
1656070,Ataque verbal,1999
1656095,"Atascos, S.A.",1998
1656122,Ataxia,1991
1656320,"Atilano, presidente",1998
1656476,Atlántico Express,1993
1656477,Atlántida (El mundo de Manuel de Falla II),1978
1656538,Atolladero,1995
1656671,Atraco a sexo armado,1980
1656673,Atraco en la jungla,1976
1656681,Atrapado,1983
1656695,Atrapados en el miedo,1985
1657142,Atur,1978
1657181,Atómica,1998
1658008,Augurio: Primera parte de vestida de fiesta,1981
1658080,"Augustin, roi du Kung-fu",1999
1658999,Autopista A-2-7,1977
1659000,Autopista B30,1977
1659001,"Autopista, unha navallada á nosa terra",1977
1659019,Autopsia,1999
1659521,Ave Fénix,1995
1659547,Ave María,1999
1659681,Aventuras de Pinín y sus amigos,1979
1659843,Avisa a Curro Jiménez,1978
1660468,Ay qué ruina,1979
1660690,Ayuda,1999
1660707,"Ayutaya, el fin de una ciudad",1980
1661207,Añoranzas,1982
1661226,B,1996
1662650,Bacanal en directo,1979
1662653,Bacanales romanas,1982
1662654,"Bacanales romanas, II Parte",1985
1664435,Badis,1990
1665009,Bahía blanca,1984
1665293,Baja corazón,1992
1665316,Bajarse al moro,1989
1665381,Bajo en nicotina,1984
1665386,Bajo la arena,1992
1665399,Bajo la piel,1996
1665422,Bajo un cielo extraño,1994
1665430,Bajomonte,1993
1665618,Bakterion,1982
1665762,Balada da Praia dos Cães,1987
1667044,Bandera negra,1986
1667109,Bandidos,1991
1667500,"Bangkok, cita con la muerte",1985
1667741,Banter,1986
1667860,Bar,1987
1667937,Bar-Cel-Ona,1987
1668068,Barbacoa sangrienta,1997
1668368,Barcelona Connection,1988
1668374,Barcelona i el mar,1982
1668375,Barcelona i Gaudí,1984
1668381,Barcelona sur,1981
1668387,Barcelona és de tots,1980
1668389,"Barcelona, lament",1990
1669508,Barrio,1998
1669543,Barrios altos,1987
1669546,Barriotonia,1998
1669556,Barroco,1989
1669741,Barça (Historia del F.C. Barcelona),1975
1670491,Batida de raposas,1976
1670617,Baton Rouge,1988
1671468,Bazar Viena,1990
1672149,Bearn o la sala de las muñecas,1983
1672478,Beatriz,1976
1675802,Belle epoque,1992
1675868,"Belles, blondes et bronzées",1981
1675993,Belmonte,1995
1676114,Beltenebros,1991
1677104,Berenice,1985
1677405,Berlín Blues,1988
1677423,Bermude: la fossa maledetta,1978
1677492,Bernegal,1978
1677559,Bert,1998
1677693,Besame,1989
1677784,Besos y abrazos,1997
1678194,Best Seller,1982
1678223,Best-Seller: El premio,1996
1680972,Bianco Apache,1987
1681303,Bienaventura 'El Bruto',1987
1681311,Bienes de consumo y calidad de vida,1982
1681332,"Bienvenido, Mister Krif",1975
1682939,Big Wendy,1995
1683223,Bihotzez,1985
1683521,Bilbao,1978
1686203,Black,1998
1687967,Black Venus,1983
1688521,Blanca Madison,1998
1688523,Blanca o la luna,1996
1688567,Blanco o negro,1990
1688568,Blanco perfecto,1996
1688574,Blancor,1975
1690943,Bloody Maruja,1999
1691572,Blue Gin,1992
1693027,Boca a boca,1995
1693043,Bocamina,1999
1693121,Bodas de sangre,1981
1694200,Bomba de relojería,1998
1694444,Bon Nadal,1998
1694477,Bona nit,1995
1695384,Boom Boom,1990
1696049,Boris Godounov,1989
1696319,Borneo,1997
1696341,Borrasca,1978
1696643,"Botas negras, látigo de cuero",1983
1698224,Bragas calientes,1983
1698225,Bragas húmedas,1984
1698229,Bragueta historia,1986
1698268,Brain,1991
1699548,Breaking the Waves,1996
1700065,Breu encontre,1993
1700087,Breve trayectoria de unas aspas de molino,1980
1700730,Brindis en la huerta,1979
1702095,Bronze,1990
1702794,"Bruja, más que bruja",1976
1702796,Brujas,1996
1702799,Brujas mágicas,1981
1702811,Brumal,1988
1702899,Bruseles,1991
1703077,Brácula. Condemor II,1997
1703975,Buenas intenciones,1999
1703979,Buenas noches,1997
1703989,"Buenas noches, señor monstruo",1982
1703998,Bueno y tierno como un ángel,1989
1704170,Bufons i reis,1994
1704516,Buitres sobre la ciudad,1981
1704695,Bulimia,1999
1705756,Burlanga,1992
1706115,Burro,1989
1706122,Burrp!,1996
1706208,Buría busca Burías,1998
1706317,Buscando a Perico,1982
1707600,Buñuel,1984
1707610,Bwana,1996
1708155,Bámbola,1996
1708340,"Bésame, tonta",1982
1708579,C'era un castello con 40 cani,1990
1708759,C'è un fantasma nel mio letto,1981
1709064,Cabeza de boi,1996
1709074,Cabeza de Vaca,1991
1709137,Cabo de vara,1978
1709246,Cachito,1996
1709253,Cachorro,1996
1709262,Cacique Bandeira,1975
1709313,Cada ver es...,1981
1709423,Cadáveres para el lunes,1994
1709582,Café de puchero,1998
1709609,Café para tres,1998
1709626,"Café, amor y estereofonía",1979
1709627,"Café, coca y puro",1985
1709884,Cal dous estraños,1991
1710027,Cales y cantos (La Mancha III),1978
1710082,California,1977
1710388,Call Girl: La vida privada de una señorita bien,1976
1710808,Calor... y celos,1996
1710849,Calvos anónimos,1998
1710869,Calé,1987
1710889,Camada negra,1977
1710907,Camas,1997
1710931,Cambio de sexo,1977
1711000,Camelamos naquerar,1976
1711142,Camila,1984
1711206,Caminantes nocturnos,1996
1711252,Camino de Santiago,1982
1711269,Camino solitario,1984
1711285,Caminos de tiza,1988
1711296,Camiños de busca,1999
1711460,Campamento internacional Uiaa Nun-Kun,1989
1711502,Campeones,1997
1711626,Campos de Níjar,1984
1711719,Camí de tango,1994
1712351,Canciones de nuestra vida,1975
1712352,Canciones para después de una guerra,1976
1712360,Canción de cuna,1990
1712361,Canción de cuna,1994
1712365,Canción de la trilla,1975
1712384,Canción triste de...,1989
1712644,Canela que tú me dieras,1995
1712649,Canet Rock,1976
1712673,Caniche,1979
1712972,Cantata de Santa María de Iquique,1975
1713251,Caperucita y Roja,1977
1713355,Capità Escalaborns,1991
1713987,Capullito de alhelí,1986
1714007,Car Crash,1981
1714067,Car-Men (Hombres-Coches),1984
1714076,Cara de acelga,1987
1714092,Cara quemada,1980
1714118,"Caracol, col, col",1995
1714202,Caray con el divorcio,1982
1714203,Caray con la viejecita,1982
1714233,Carboneros de Navarra,1981
1714596,"Cariño mío, ¿qué me has hecho?",1979
1714597,"Cariño, he enviado a los hombres a la luna",1998
1714600,Cariñosamente infiel,1980
1714668,Carla's Song,1996
1714731,Carlos Chaverri,1998
1714776,Carlota: Amor es... veneno,1981
1714873,Carmen,1983
1714913,Carmen 3.G.,1979
1714943,Carmen nue,1984
1715019,Carmín,1983
1715092,Carnaval,1990
1715125,Carnaval de Pueblo,1987
1715154,Carnaval en Tenerife,1976
1715186,Carne apaleada,1978
1715196,Carne de cerdo,1984
1715216,Carne trémula,1997
1715595,Carranze,1994
1715612,Carrera nocturna,1987
1715628,Carreteras secundarias,1997
1715846,Carta a nadie,1984
1715886,Cartas de amor de una monja,1978
1715893,Cartas del parque,1989
1715895,Cartas desde Huesca,1993
1715923,Cartells d'un poble en guerra,1975
1716064,Carícies,1998
1716105,Casa de citas,1978
1716149,Casa Manchada,1977
1716192,Casablanca revisitada,1992
1716258,Casas viejas,1983
1716262,Casc Antic,1978
1716480,Casi veinte horas,1999
1716563,Caso cerrado,1985
1716732,Casta e pura,1981
1716761,Castellers (Castillos humanos),1978
1716800,Castilla eterna,1975
1716810,Castillos - Museo de España: Castillo de Perelada,1975
1716828,Casting,1998
1717074,Casual Wear,1999
1717274,Catalans universals,1980
1717537,Catedral,1997
1717646,Catherine Chérie,1982
1717720,Catorce estaciones,1991
1717838,Caudillo,1977
1718062,Causa abierta contra el genocidio,1998
1718135,Cautivos de la sombra,1994
1718371,Cazadores,1997
1718379,Cazar un gato negro,1977
1718396,Caída libre,1994
1718399,Caídos del cielo,1990
1718403,Caín,1987
1718645,Cecilia,1982
1718917,Celedonio y yo somos así,1977
1719103,Celos,1999
1719211,Cena de asesinos,1989
1719263,Cenizas a las cenizas,1993
1719317,Centauro,1988
1719945,Cet obscur objet du désir,1977
1720081,Cha-cha-chá,1998
1721547,Chantaje Nº 5,1992
1721785,Chapuza uno,1976
1722576,Chasco,1994
1723003,Chatarra,1991
1723425,Chechu y familia,1992
1723941,Chely,1977
1724301,Chernov/Chernov,1990
1724618,Chevrolet,1997
1725096,Chicano,1980
1725371,Chicles,1996
1725493,Chihuahua,1991
1726349,Chillida,1978
1727028,Chispita y sus gorilas,1982
1727270,Chocolate,1980
1727749,Chopicalqui 6.000. Andes del Peru,1975
1728072,Christ,1984
1728198,Christina y la reconversión sexual,1984
1728213,Christine fue la culpable,1979
1728605,Christopher Columbus: The Discovery,1992
1729389,"Churros, azúcar y otros sueños",1996
1729563,Chéreau - L'envers du théâtre,1986
1729827,Cicuta,1998
1729913,Cien kilos de inspiración,1991
1729916,Cien maneras de hacer el pollo al txilindrón,1997
1729923,Cien puntos para Julián Pintos,1981
1729932,Ciencias naturales,1975
1729940,Cientificament perfectes,1996
1730113,Cinco años de mi vida,1988
1730136,Cinco maneras de ver el placer,1985
1730147,Cinco mujeres a todo gas,1992
1730152,Cinco tenedores,1979
1730347,Cinefília,1983
1730483,Cinematógrafo 1900,1979
1730561,Cinquantenari,1979
1730701,Cipolla Colt,1975
1730711,Cira,1996
1731247,Cita,1996
1731253,Cita con Alberto,1993
1731738,Ciudad Baja (Downtown Heat),1994
1731786,Ciudadanos bajo sospecha,1994
1731901,Ciénaga,1993
1732063,Clara,1998
1732084,Clara es el precio,1975
1732089,Clara foc,1991
1732611,Claustro románico de Silos,1985
1732634,Clavelitos,1993
1733161,Climax,1977
1733178,Climax/El proceso,1977
1733291,Clips,1994
1733867,Cloven Hoofed,1998
1734011,Club Cala Azul,1975
1734705,Cocaína,1980
1735624,Coitado do Jorge,1993
1735971,Colegas,1982
1735981,Colegialas lesbianas y el placer de pervertir,1983
1736724,Colorín colorado,1976
1737024,Comamos y bebamos todos de El,1992
1737056,Comando Txikia: Muerte de un presidente,1976
1737123,Combate,1976
1737908,Comin' at Ya!,1981
1738219,Commando terrorista,1990
1738752,Como la uña de la carne,1978
1738761,Como matar a papá... sin hacerle daño,1975
1738809,Como se hizo: Acción mutante,1993
1738825,Como tú quieras,1992
1738826,Como un adiós,1983
1738835,Como un relámpago,1996
1738946,"Companys, procés a Catalunya",1979
1738978,Compañero de viaje,1979
1739055,Completo confort,1997
1739139,Compramos gente,1988
1739290,Comunicat oficial,1982
1739348,Con el culo al aire,1980
1739364,Con el rabo entre las piernas,1981
1739377,Con flores a María,1977
1739384,Con gli occhi chiusi,1994
1739399,Con la lucidez que nos da el paso del tiempo,1984
1739413,Con la música a otra parte,1975
1739434,Con las bragas en la mano,1982
1739470,Con mucho cariño,1977
1739500,Con un pie en la tumba,1998
1739502,Con uñas y dientes,1977
1740045,Confesiones íntimas de una exhibicionista,1983
1740048,Confesión a Laura,1990
1740412,Confluencias,1998
1740706,Conquest,1983
1741080,Consultorio sexológico,1980
1741159,Contactos,1997
1741206,Contaminación Biodigital,1998
1741216,Contar,1994
1741300,Contestatarios (Poemágenes 1),1975
1741319,Continental,1990
1741393,Continuum 1,1975
1741405,Contos de Alentraia: Tornabón,1994
1741426,Contra el viento,1990
1741427,Contra el águila y el león,1999
1741431,Contra la pared,1988
1741530,Contrarreloj,1996
1741912,Convivencia,1984
1742214,Cop de porta,1993
1742303,Copia cero,1982
1742304,Copia nueva,1997
1742532,Corazón de cristal,1986
1742548,Corazón de papel,1982
1742564,Corazón loco,1997
1742618,Corderos de Dios,1997
1742813,Coro de ángeles,1996
1743023,Corpus de sang. La revolta social i política dels segadors,1980
1743169,Corridas de alegría,1982
1743253,Corsarios del chip,1996
1743373,Coruña imposible,1995
1743395,Cos mort,1987
1743427,Cosas nuestras,1999
1743428,Cosas que dejé en La Habana,1997
1743431,Cosas que nunca te dije,1996
1743433,Cosas que olvidé recordar,1999
1743434,Cosas que pasan,1994
1743454,Coses que passen,1997
1743456,Coses que tornen,1977
1743609,Costa Brava,1995
1743732,Così come sei,1978
1743786,Coto de caza,1983
1744737,Cousin Bobby,1992
1746919,Crimen en familia,1985
1746930,Crimen pluscuamperfecto,1999
1747173,Crisis,1982
1747253,Cristal amarillo,1981
1747277,Cristino de Vera (Artistas españoles de hoy),1975
1747305,"Cristóbal Colón, de oficio... descubridor",1982
1747357,Crits sords,1984
1747482,Cronaca di un amore violato,1995
1748503,Cruza la puerta,1984
1748767,Crystalstone,1987
1748771,Cràpules,1993
1748793,"Créeme, estoy muerto",1998
1748805,Cría cuervos,1976
1748808,Crímenes ejemplares (Cuentos 1 y 2),1983
1748813,Crónica de la guerra carlista,1988
1748828,Crónica de un instante,1981
1748835,Crónica de un vino,1976
1748849,Crónica exterior,1976
1748852,Crónica sentimental en rojo,1986
1748860,Crónicas del bromuro,1980
1749067,Cualquier cosa,1976
1749070,Cualquier día con Manuela,1990
1749072,Cualquier lugar,1998
1749076,Cualquier tiempo pasará (cualquier tiempo pasado),1983
1749085,Cuando Almanzor perdió el tambor,1984
1749101,"Cuando Conchita se escapa, no hay tocata",1976
1749107,Cuando el bosque avance,1976
1749109,Cuando el cuerno suena,1975
1749112,Cuando el futuro nos alcance,1999
1749114,Cuando el mundo se acabe te seguiré amando,1998
1749137,Cuando la caza se vuelve competición,1976
1749171,Cuando los maridos se iban a la guerra,1976
1749182,Cuando mueras que harás tú?,1979
1749204,Cuando te encontré,1999
1749220,Cuando vuelvas a mi lado,1999
1749232,Cuantísimo peligro,1999
1749235,Cuarenta años sin sexo,1979
1749243,Cuarteto de La Habana,1999
1749286,Cuatro locos buscan manicomio,1980
1749292,Cuatro mujeres y un lío,1985
1749580,Cuenca hoy,1975
1749619,Cuentos de las sábanas blancas,1977
1749624,Cuentos eróticos,1980
1749626,Cuentos junto al fuego,1982
1749632,Cuentos para una escapada,1981
1749641,Cuernos de mujer,1995
1749645,Cuerpo a cuerpo,1984
1749683,Cuestión de suerte,1996
1749685,Cuestión de tiempo,1988
1750705,Cupido se enamora,1984
1752072,Cámara rápida,1996
1752240,Cómo enseñar un trabajo,1976
1752243,Cómo levantar 1000 kilos,1991
1752261,Cómo ser infeliz y disfrutarlo,1994
1752262,Cómo ser mujer y no morir en el intento,1991
1752542,D.N.I.,1996
1754458,Dallas,1975
1754530,Dalí,1991
1754687,Dame algo,1997
1754698,Dame fuego,1994
1755591,Dancing Machine,1990
1756366,"Daniya, jardín del harem",1988
1756998,Danzón,1991
1757622,Dark Mission: Flowers of Evil,1988
1760446,Das Tal der tanzenden Witwen,1975
1761341,David,1995
1761343,David,1996
1761941,Day of the Assassin,1979
1762594,De camisa vieja a chaqueta nueva,1982
1762647,De Cáceres a Portugal,1978
1762798,"De fresa, limón y menta",1978
1762957,De hombre a hombre,1985
1763367,De mica en mica s'omple la pica,1984
1763448,De niña a mujer,1982
1763465,De nou a deu,1990
1763622,De profesión: polígamo,1975
1763958,De tripas corazón,1985
1763986,De un instante,1984
1765285,Deadly Manor,1990
1766989,Decirte que te quiero,1995
1767232,Dedicatoria,1980
1768070,Degradació de la ciutat,1978
1768207,Dejadme vivir,1982
1768284,Del amor y de la muerte,1977
1768298,Del contorno y sus formas,1976
1768312,Del honor de Leonor,1984
1768587,Delincuentes de barrio,1998
1768613,Delirio d'amore,1977
1768620,Delirios de amor,1986
1768627,Delirium,1983
1769030,Demasiado caliente para ti,1996
1769031,Demasiado corazón,1992
1769036,Demasiado para Gálvez,1981
1769038,Demasiado viejo para morir joven,1989
1769305,Demonios en el jardín,1982
1770250,Denver,1985
1770370,Depizza depizza,1995
1770411,Depravación,1982
1770448,"Deprisa, deprisa",1981
1775121,Derechos humanos ¿Cumpleaños feliz?,1998
1775629,Descanse en piezas,1987
1775720,Desde el abismo,1980
1775736,Desde el tejado,1998
1775797,Desenfrenos carnales,1982
1775804,Deseo,1976
1775810,Deseo carnal,1978
1775814,Deseo oculto,1992
1776316,Desnuda inquietud,1976
1776607,Despertaferro,1990
1776635,Despido improcedente,1980
1776684,Después de la tormenta,1990
1776690,Después de tantos años,1994
1776692,Después de... primera parte: No se os puede dejar solos,1983
1776693,Después de... segunda parte: Atado y bien atado,1983
1776702,Después del sueño,1992
1776747,Destiempo,1997
1777055,Desvío al paraíso,1994
1777427,Detectives sin piedad,1990
1777612,Detrás de cada día,1980
1778797,Dhaulagiri 8.172 metres. La muntanya de les tempestes,1981
1779136,Diada nacional de Catalunya 1977,1977
1779148,Diafragma - cero,1976
1779648,Diario de invierno,1988
1779676,Diario para un cuento,1998
1779903,Dichoso mordisco,1976
1784149,Die sieben Hügel Roms,1999
1784369,Die Standarte,1977
1785585,Dies Irae,1998
1786185,Dile a Laura que la quiero,1995
1786362,Dime una mentira,1993
1786435,Dimorfo,1980
1786529,Dinero maldito,1979
1786531,Dinero sucio,1992
1786933,Dios bendiga cada rincón de esta casa,1977
1787120,"Directissima al Yerupaja Sud 6.438 metres. Huay-Huasch, Serralada de la Verticalitat",1978
1787122,Directo al corazón,1991
1788085,Discotheque,1999
1788242,Disertaciones sobre una coliflor,1999
1788551,Disparate nacional,1990
1788553,Disparen a matar,1990
1788554,Disparen sobre el cineasta,1984
1788845,Distrito Picasso,1994
1789131,Divinas palabras,1987
1789338,Divorcio a la andaluza,1975
1789507,Diálogo amor,1976
1790348,Doblones de a ocho,1990
1790558,Docteur Justice,1975
1792047,Dolores,1981
1792383,"Domingo Fontán, la pasión por la Cartografía",1996
1792612,Don Cipote de la Manga,1985
1792712,Don Isa,1992
1792713,"Don Jaume, el conquistador",1994
1792739,Don Juan,1998
1792750,Don Juan en los infiernos,1991
1792795,"Don Juan, mi querido fantasma",1990
1792890,Don Quijote de Orson Welles,1992
1793707,Donde hay patrón...,1978
1793717,Donde termina el corazón,1989
1794814,Doroteah,1999
1794920,Dos,1980
1794921,Dos,1999
1794939,Dos anys despres,1999
1795029,Dos hombres y una mujer,1994
1795030,"Dos hombres y, en medio, dos mujeres",1977
1795044,Dos mejor que uno,1984
1795076,Dos pillos y pico,1981
1795087,Dos por dos,1997
1795116,"Dos y dos, cinco",1981
1795132,Doscientos lagos,1975
1795133,Doscientos metros,1996
1796150,Dous enfermos e unha enfermeira,1997
1796796,Doña Bárbara,1998
1796814,Doña Perfecta,1977
1797002,Dr. Curry,1997
1797752,Dragón Rapide,1986
1798483,Dreamers,1999
1801302,Duelo a muerte,1981
1801345,"Duerme, duerme, mi amor",1975
1801620,Dulces coitos in Blue,1985
1801623,Dulces horas,1982
1802149,Dura lex,1997
1803422,Décimo aniversario,1998
1803499,Déjeme que le cuente,1998
1803583,Démons de midi,1979
1803693,Día a día,1978
1803736,Días contados,1994
1803762,Días de sol,1999
1803763,Días de tormenta,1995
1803775,Días sin luz,1995
1805761,Eco,1996
1806393,Edipo e Techné,1997
1806558,Eduardo,1990
1807351,Egon Schiele,1998
1807517,Eh?,1976
1807586,Ehun metro,1986
1808305,Ein lasterhafter Sommer,1982
1809992,El abriguito,1996
1809997,El abuelo,1998
1810006,"El abuelo, la condesa y Escarlata la traviesa",1992
1810020,El acto,1979
1810021,El acto,1989
1810024,El acto sensual,1983
1810035,El adúltero,1975
1810052,El agua hilvanada,1998
1810075,El aire de un crimen,1988
1810102,El alcalde y la política,1980
1810104,El alegre divorciado,1976
1810112,El aliento del diablo,1993
1810113,El alijo,1976
1810131,El alquiler,1994
1810144,El amante bilingüe,1993
1810173,El amor brujo,1986
