1837	NAS	3
1838	CAR	37
1838	LAT	104
1839	CAR	103
1839	NAS	1
1840	LAT	122
1840	NAS	1
1841	LAT	131
1841	NAS	13
1842	LAT	110
1842	NAS	1
1843	CAR	1
1843	LAT	137
1849	CAR	316
1850	LAT	304
1851	CAR	19
1852	CAR	148
1852	LAT	304
1862	NAS	16
1863	CAR	17
1868	CAR	31
1868	NAS	14
1869	LAT	16
1872	CAR	4
1872	NAS	11
1874	NAS	34
1891	CAR	7
1891	NAS	20
1896	WEA	53
1903	CAR	20
1903	LAT	7
1908	CAR	3
1908	NAS	18
1912	NAS	18
1923	CAR	13
1923	NAS	11
1938	CAR	7
1938	LAT	16
1938	NAS	6
1960	CAR	7
1960	NAS	33
1963	CAR	316
1964	CAR	19
1965	CAR	26
1972	CAR	15
1972	NAS	4
1977	CAR	45
1982	NAS	15
1994	CAR	64
1994	NAS	19
2003	CAR	8
2003	NAS	14
2007	NAS	204
2013	LAT	31
2013	NAS	20
2021	CAR	15
2021	LAT	8
2022	NAS	19
2024	NAS	23
2025	NAS	20
2033	LAT	26
2033	NAS	5
2034	CAR	6
2034	LAT	20
2052	CAR	7
2052	NAS	23
2056	LAT	7
2056	NAS	15
2057	CAR	88
2057	NAS	12
2058	CAR	17
2060	NAS	25
2066	NAS	19
2076	CAR	25
2076	NAS	8
2077	LAT	28
2077	NAS	34
2080	CAR	21
2089	CAR	29
2089	NAS	12
2102	CAR	19
2102	NAS	2
2103	LAT	25
2103	NAS	20
2104	CAR	41
2105	LAT	31
2107	CAR	65
2107	LAT	2
2107	NAS	37
2111	CAR	4
2111	NAS	13
2115	CAR	14
2115	LAT	4
2115	NAS	5
2122	NAS	24
2125	CAR	29
2127	NAS	101
2132	CAR	83
2134	LAT	68
2136	CAR	16
2144	NAS	211
2145	NAS	23
2146	CAR	136
2161	LAT	20
2161	NAS	6
2162	NAS	24
2163	CAR	3
2163	NAS	20
2170	CAR	213
2181	CAR	36
2181	NAS	23
2182	NAS	56
2186	NAS	20
2209	NAS	22
2210	CAR	38
2210	NAS	11
2217	CAR	77
2221	LAT	28
2221	NAS	13
2222	LAT	37
2222	NAS	1
2231	CAR	45
2231	NAS	6
2232	LAT	73
2232	NAS	3
2233	NAS	15
2235	NAS	16
2238	NAS	17
2242	NAS	52
2244	NAS	15
2249	NAS	19
2250	CAR	33
2254	LAT	24
2257	LAT	43
2264	LAT	23
2264	NAS	29
2265	CAR	17
2265	NAS	21
2266	NAS	20
2266	WEA	53
2273	NAS	61
2275	NAS	44
2282	LAT	47
2301	LAT	97
2301	NAS	4
2302	CAR	10
2302	LAT	113
2302	NAS	3
2308	CAR	15
2309	CAR	22
2322	LAT	51
2332	CAR	5
2332	NAS	13
2333	CAR	23
2333	NAS	11
2334	LAT	29
2334	NAS	2
2346	LAT	12
2346	NAS	7
2348	CAR	4
2348	NAS	15
2361	LAT	13
2361	NAS	5
2370	NAS	15
2373	CAR	5
2373	NAS	17
2374	NAS	393
2375	CAR	1
2375	NAS	77
2401	CAR	18
2401	LAT	1
2402	CAR	2
2402	LAT	31
2418	CAR	10
2418	LAT	64
2418	NAS	3
2438	NAS	17
2439	LAT	31
2439	NAS	1
2440	CAR	7
2440	LAT	17
2440	NAS	12
2459	SEC	15
2471	LAT	26
2471	NAS	4
2472	LAT	21
2473	NAS	26
2477	NAS	17
2481	CAR	18
2487	NAS	16
2490	CAR	3
2490	LAT	15
2492	CAR	17
2492	LAT	3
2510	LAT	16
2511	LAT	35
2511	SEC	4
2512	CAR	42
2517	LAT	12
2517	NAS	5
2517	SEC	4
2527	LAT	117
