13799,2144984,,,10,1
13799,2455740,,,,1
13814,2220630,,,,1
13875,2045895,13323,,,1
13879,1989633,,,14,1
13881,1814154,26132,,13,1
13883,2396783,25235,,18,1
13897,1845901,,(segment "Martinete"),6,1
13898,1987267,,,,1
13939,1830547,26166,(as Dr. Santiago Agurto),,1
13992,1714067,,,,1
13993,1875412,,(as Antoni Agusti),10,1
13993,2467991,,,16,1
13994,1713355,26270,,11,1
13994,1763367,,,6,1
13994,1811004,,,,1
13994,1825241,,,7,1
13994,2390070,,,,1
13996,1814313,247,,,1
13996,1886710,,,,1
13996,1923407,26279,,,1
13996,1996264,26280,,,1
13996,2146241,26281,(as Miguel Agusti),12,1
13998,2091910,486,,1,1
13999,2075457,1,,,1
14455,1819873,27057,,11,1
15434,1812074,28610,,,1
15501,1872873,22342,,4,1
15614,2400217,8753,,4,1
15661,1634023,29180,,2,1
15661,1646782,29181,,7,1
15661,1755591,29183,,6,1
15661,1792750,29184,(as Ignacio Aierra),7,1
15661,1801623,1674,,2,1
15661,1812168,,,,1
15661,1990866,,(as Iñaki Ayerra),27,1
15661,1992366,3216,,,1
15661,2033235,,,3,1
15661,2038277,,,8,1
15661,2040423,25882,,4,1
15661,2116489,,,,1
15661,2144289,,,,1
15661,1075733,,(as Ignacio Aierra),13,1
15664,2202915,,(segment "Domenica"),12,1
15855,1990808,29528,,19,1
15856,1990808,24908,,24,1
15928,2387806,1,(archive footage),,1
16045,2158801,,,,1
16069,2113354,,,2,1
16176,2235339,30295,,4,1
16191,2265238,,,1,1
16644,2104391,,,33,1
16717,2457961,31087,,19,1
17197,1797002,31649,,8,1
17289,1986339,,,,1
17760,1664435,,,9,1
17920,2282191,,(uncredited),,1
17997,1941512,,(as B. Akramov),28,1
19221,1811326,33889,,17,1
19221,1813811,1280,,20,1
19244,2002156,33918,(as Andres Aladren),7,1
19248,2048444,1562,,14,1
19249,2187968,33920,,10,1
19479,1991219,34224,,,1
19523,378606,34291,,22,1
19595,1911011,1376,(voice),,1
19825,2418880,3639,,15,1
19832,2460505,10445,,28,1
19837,1941512,,,36,1
19854,1988013,34844,,,1
19855,2032699,,(uncredited),,1
19855,2071845,,(voice) (as Josep María Alarcón),,1
19865,1810289,,,9,1
19865,2405396,1674,,9,1
19869,2188000,,,3,1
19909,2032750,,(uncredited),,1
20130,1795030,,,,1
20130,1810861,,,14,1
20130,1826809,35611,,20,1
20130,1988427,,,,1
20130,1989677,,,,1
20130,2022146,,,,1
20130,2155758,7292,,1,1
20130,2279612,,,,1
20130,2430324,,,,1
20130,2465527,9262,,,1
20130,756604,5490,,,1
20139,2050763,35628,,9,1
20140,1724618,35629,,22,1
20140,1986082,1629,,8,1
20171,1810173,10445,,19,1
20180,2003232,10426,,28,1
20202,1739348,35695,,15,1
20208,1884873,580,,,1
20208,1998630,35701,,,1
20208,2054278,35702,,,1
20208,2105346,5845,,,1
20219,2089608,35710,,33,1
20230,1996050,13382,,22,1
20240,1638170,10396,(as Raphael Albaicin),25,1
20240,1749171,,,27,1
20240,1796814,,,35,1
20240,1810221,35818,,16,1
20240,1812923,35819,,55,1
20240,1813403,,,16,1
20240,1826316,,,27,1
20240,1835723,1778,,4,1
20240,1858631,,,,1
20240,1881843,,,,1
20240,1924823,35821,(as Raphael Albaicin),16,1
20240,1986022,,(as Rafael Albaicin),12,1
20240,1994000,,,14,1
20240,2105727,,,49,1
20240,2260356,,,,1
20253,2460505,,,,1
20256,1999419,,,60,1
20263,2003178,,,36,1
20267,1688521,,,,1
20267,1724618,35872,,1,1
20267,1739055,25860,,4,1
20267,1813306,10468,,19,1
20267,1816364,25725,,5,1
20267,1822884,35874,,6,1
20267,1937096,,,1,1
20267,1994081,35876,,,1
20267,2039187,9262,,2,1
20267,2078130,35879,,4,1
20267,2089608,1553,,7,1
20267,2106025,347,,2,1
20267,2175478,34150,,1,1
20267,2180858,1713,,,1
20267,2192915,3591,,,1
20267,2218140,5866,,6,1
20267,2265155,7294,,5,1
20267,2265233,25882,,2,1
20267,2406135,13332,,1,1
20369,1503683,177,,,1
20428,2093846,,,9,1
20445,1988027,,(as Josep Ricard Albarran),106,1
20452,2137472,,,,1
20528,1810911,,,,1
20573,1668389,,,,1
20599,1999419,,,23,1
20601,1668368,,,18,1
20602,1996576,,,14,1
20602,2384487,899,,50,1
20602,2391561,36487,,,1
20604,2022140,10426,,28,1
20606,2033322,36490,,17,1
20682,1637871,22450,(uncredited),,1
20723,1845203,36916,,2,1
20775,2096778,,,2,1
20862,1903650,37159,,53,1
20871,2164705,,,,1
20901,1991616,37355,,13,1
20913,1707600,1,,2,1
20913,1776693,1,,,1
20913,2043943,1,(uncredited),,1
20913,282464,177,,,1
20917,1784369,,,19,1
20917,1812160,,,12,1
20917,1997755,,,12,1
20917,2051564,,,,1
20955,2465586,37551,,11,1
21015,1815667,37604,,19,1
21041,2467535,37645,,2,1
21208,1629020,,,13,1
21208,1653162,,,4,1
21208,1716105,,,21,1
21208,1810102,,,15,1
21208,1810959,38187,,27,1
21208,1811814,,,32,1
21208,1813389,38188,,34,1
21208,1816243,,,,1
21208,1993429,,,28,1
21208,2033599,,,17,1
21208,2048628,,,11,1
21208,196440,,,,1
21263,1923367,38273,,2,1
21265,239894,,(voice),,1
21266,1881270,30058,,23,1
21266,1906568,,,,1
21266,1983081,,,,1
21266,1984226,,,,1
21266,1984885,7558,,9,1
21266,1996357,38295,,10,1
21266,2133282,,,5,1
21266,2269789,38299,,12,1
21266,728693,,,,1
21279,322406,1,,,1
21280,1875275,24341,,,1
21281,1599026,,,,1
21281,1634023,38350,,17,1
21281,1810176,,,13,1
21281,1813568,,,,1
21281,1822974,38351,,,1
21281,1825872,,,,1
21281,1875275,,,,1
21281,2038268,,,,1
21281,2158801,,,,1
21281,2414037,,,,1
21287,1656033,,,,1
21287,2203343,38373,,7,1
21287,2218133,,,7,1
21295,2387806,1,(archive footage),,1
21317,495031,177,(1985),,1
