36117	Carrier
36118	Carrier
36614	Carrier
36616	Carrier
36751	NAS
37464	Carrier
37528	Carrier
37531	Weather
37549	Weather
37573	Weather
37576	Weather
37782	Carrier
37788	Carrier
38395	Carrier
38401	NAS
38407	Carrier
38409	NAS
38410	Carrier
38412	Weather
38413	Weather
38644	Weather
38645	Weather
38738	Weather
38793	Carrier
38910	NAS
38911	Weather
38912	NAS
39540	Carrier
39673	NAS
39974	Carrier
39976	NAS
39980	NAS
40236	NAS
40276	Carrier
40370	NAS
40371	NAS
40453	Carrier
40460	Carrier
40502	NAS
40504	NAS
40639	NAS
40641	NAS
40711	NAS
40959	Weather
41020	NAS
41024	NAS
41673	Carrier
41686	Weather
41712	Weather
41713	Weather
41753	Weather
41754	Carrier
41879	Carrier
41934	Carrier
42074	Carrier
42119	NAS
42199	NAS
42235	Carrier
42282	Weather
42312	NAS
42313	NAS
42333	Weather
42355	Carrier
42359	NAS
42360	Weather
42388	NAS
42419	NAS
42422	Weather
42423	NAS
42424	NAS
42440	NAS
42453	NAS
42456	NAS
42457	NAS
42458	NAS
42459	NAS
42506	NAS
42507	NAS
42522	Weather
42623	NAS
42624	NAS
42645	NAS
42646	NAS
42734	NAS
42736	NAS
42742	Weather
42767	Weather
42813	Weather
42837	NAS
42849	NAS
42877	NAS
42896	Carrier
43239	Carrier
43240	Carrier
43337	Carrier
43651	Weather
43655	Weather
43690	Weather
43696	Weather
43754	Weather
43757	Weather
43758	Weather
43760	Weather
43863	NAS
43926	Weather
43943	Weather
43944	Weather
44020	Weather
44024	Weather
44044	Weather
44045	Weather
44116	Weather
44297	Weather
44299	Weather
44345	Carrier
44348	Carrier
44353	Carrier
44702	Carrier
44742	Carrier
44743	Carrier
44745	Carrier
44746	Carrier
45208	Carrier
45288	NAS
45291	NAS
45559	Weather
45633	Weather
45645	Weather
45802	Carrier
45816	Weather
45817	Weather
46056	Weather
46062	Weather
46273	Carrier
46315	Carrier
46320	Carrier
47100	Weather
47113	Weather
47150	Weather
47208	Weather
47570	Weather
47571	Weather
47572	Weather
47573	Weather
47574	Weather
47575	Weather
47576	Weather
47577	Weather
47578	Weather
47579	Weather
47580	Weather
47581	Weather
47582	Weather
47583	Weather
47584	Weather
47585	Weather
47586	Weather
47623	Carrier
47686	Carrier
47687	Carrier
47796	Carrier
47797	Carrier
48127	Carrier
48128	Carrier
48167	Carrier
48287	Carrier
48517	Carrier
48521	Carrier
48677	Weather
48845	Carrier
48981	Weather
48982	Weather
48983	Weather
